key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,latitude,longitude,location,latitude_stadium,longitude_stadium
1,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,group stage,Group 1,1,0,0,0,7/13/1930,15:00,S-193,Pocitos Stadium,Montevideo,Uruguay,T-28,France,FRA,T-44,Mexico,MEX,5,4,1,3,-3,0,0,0-0,0,0,home team win,1,0,0,-32.8755548,-56.0201525,"-32.8755548,-56.0201525",-34.9022,-56.1746
2,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,group stage,Group 4,1,0,0,0,7/13/1930,15:00,S-192,Gran Parque Central Stadium,Montevideo,Uruguay,T-80,United States,USA,T-06,Belgium,BEL,3,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,-32.8755548,-56.0201525,"-32.8755548,-56.0201525",-34.884457600000005,-56.1587293698424
3,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,group stage,Group 2,1,0,0,0,7/14/1930,12:45,S-192,Gran Parque Central Stadium,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-09,Brazil,BRA,3,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,-32.8755548,-56.0201525,"-32.8755548,-56.0201525",-34.884457600000005,-56.1587293698424
4,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,group stage,Group 3,1,0,0,0,7/14/1930,14:50,S-193,Pocitos Stadium,Montevideo,Uruguay,T-59,Romania,ROU,T-54,Peru,PER,4,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,-32.8755548,-56.0201525,"-32.8755548,-56.0201525",-34.9022,-56.1746
5,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,group stage,Group 1,1,0,0,0,7/15/1930,16:00,S-192,Gran Parque Central Stadium,Montevideo,Uruguay,T-03,Argentina,ARG,T-28,France,FRA,1,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,-32.8755548,-56.0201525,"-32.8755548,-56.0201525",-34.884457600000005,-56.1587293698424
6,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,group stage,Group 1,1,0,0,0,7/16/1930,14:45,S-192,Gran Parque Central Stadium,Montevideo,Uruguay,T-13,Chile,CHL,T-44,Mexico,MEX,3,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,-32.8755548,-56.0201525,"-32.8755548,-56.0201525",-34.884457600000005,-56.1587293698424
7,WC-1930,1930 FIFA World Cup,M-1930-07,Yugoslavia v Bolivia,group stage,Group 2,1,0,0,0,7/17/1930,12:45,S-192,Gran Parque Central Stadium,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-07,Bolivia,BOL,4,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,-32.8755548,-56.0201525,"-32.8755548,-56.0201525",-34.884457600000005,-56.1587293698424
8,WC-1930,1930 FIFA World Cup,M-1930-08,United States v Paraguay,group stage,Group 4,1,0,0,0,7/17/1930,14:45,S-192,Gran Parque Central Stadium,Montevideo,Uruguay,T-80,United States,USA,T-53,Paraguay,PRY,3,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,-32.8755548,-56.0201525,"-32.8755548,-56.0201525",-34.884457600000005,-56.1587293698424
9,WC-1930,1930 FIFA World Cup,M-1930-09,Uruguay v Peru,group stage,Group 3,1,0,0,0,7/18/1930,14:30,S-191,Centennial Stadium,Montevideo,Uruguay,T-81,Uruguay,URY,T-54,Peru,PER,1,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,-32.8755548,-56.0201525,"-32.8755548,-56.0201525",4.515840799999999,-75.69878435000001
10,WC-1930,1930 FIFA World Cup,M-1930-10,Chile v France,group stage,Group 1,1,0,0,0,7/19/1930,12:50,S-191,Centennial Stadium,Montevideo,Uruguay,T-13,Chile,CHL,T-28,France,FRA,1,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,-32.8755548,-56.0201525,"-32.8755548,-56.0201525",4.515840799999999,-75.69878435000001
